|Node|Directory Number|Registration Status|Subscriber Type|Supplementary Service Set
|1000|02-6253031|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253032|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253033|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253034|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253035|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253036|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253037|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253038|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253039|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253040|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253041|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253042|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253043|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253044|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253045|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253046|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253047|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253048|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253049|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253050|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253051|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253052|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253053|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253054|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253055|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253056|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253057|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253058|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253059|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253060|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253061|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253062|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253063|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253064|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253065|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253066|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253067|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253068|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253069|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253070|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253071|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253072|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6253073|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253074|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253075|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253076|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253077|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253078|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253079|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253080|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253081|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253082|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253083|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253084|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253085|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253086|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253087|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6253088|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6257000|Not registered (on 'UC-MAD')|Public|advancedSSS_3
|1000|02-6257003|Not registered|Public|BLOQUEO LD
|1000|02-6261840|Registered from 10.50.11.136|Public|BLOQUEO LD
|1000|02-6262034|Registered from 10.50.11.39|Public|BLOQUEO LD
|1000|02-6262126|Registered from 10.50.13.184|Public|BLOQUEO LD
|1000|02-6262178|Registered from MAD 6262178|Public|Abonado Comun
|1000|02-6262180|Registered from 10.50.12.197|Public|Abonado Comun
|1000|02-6262200|Not registered (on 'MAD 6262200')|Public|Abonado Comun
|1000|02-6262201|Not registered (on 'MAD 6262200')|Public|Abonado Comun
|1000|02-6262202|Registered from MAD 6262202|Public|BLOQUEO LD
|1000|02-6262203|Registered from MAD 6262202|Public|Abonado Comun
|1000|02-6262204|Registered from MAD 6262204|Public|Abonado Comun
|1000|02-6262205|Registered from MAD 6262204|Public|BLOQUEO LD
|1000|02-6262206|Registered from MAD 6262206|Public|BLOQUEO LD
|1000|02-6262207|Registered from MAD 6262206|Public|Abonado Comun
|1000|02-6262215|Registered from 10.50.10.252|Public|Abonado Comun
|1000|02-6262217|Registered from MAD 6262217|Public|Abonado Comun
|1000|02-6262218|Registered from MAD 6262178|Public|Abonado Comun
|1000|02-6262219|Registered from MAD 6262217|Public/Suspended|BLOQUEO TOTAL
|1000|02-6262222|Not registered|Public/Suspended|BLOQUEO TOTAL
|1000|02-6262240|Registered from 10.50.11.217|Public|BLOQUEO LD
|1000|02-6262261|Not registered|Public/Suspended|BLOQUEO TOTAL
|1000|02-6262272|Registered from 10.50.11.202|Public|BLOQUEO LD
|1000|02-6262275|Registered from 10.50.10.100|Public|BLOQUEO LD
|1000|02-6262358|Registered from 10.50.11.252|Public|BLOQUEO LD
|1000|02-6262370|Registered from 10.50.13.53|Public|Abonado Comun
|1000|02-6262444|Registered from 10.50.15.228|Public|Abonado Comun
|1000|02-6262520|Registered from 10.50.14.161|Public|BLOQUEO LD
|1000|02-6262562|Registered from 10.50.12.70|Public|Abonado Comun
|1000|02-6262587|Not registered|Public|BLOQUEO LD
|1000|02-6262656|Registered from 10.50.15.8|Public|Abonado Comun
|1000|02-6262934|Registered from 10.50.12.145|Public|BLOQUEO LD
|1000|02-6262967|Registered from 10.50.11.117|Public|BLOQUEO LD
|1000|02-6263107|Registered from 10.50.13.165|Public|BLOQUEO LD
|1000|02-6263128|Registered from 10.50.13.99|Public|BLOQUEO LD
|1000|02-6263166|Registered from 10.50.10.97|Public|BLOQUEO LD
|1000|02-6263199|Registered from 10.50.12.68|Public|BLOQUEO LD
|1000|02-6263203|Registered from 10.50.13.126|Public|BLOQUEO LD
|1000|02-6263227|Not registered|Public|BLOQUEO LD
|1000|02-6263231|Registered from 10.50.10.250|Public|BLOQUEO LD
|1000|02-6263380|Not registered|Public|BLOQUEO LD
|1000|02-6263392|Not registered|Public|BLOQUEO LD
|1000|02-6263438|Registered from 10.50.13.42|Public|BLOQUEO LD
|1000|02-6263488|Registered from 10.50.10.76|Public|Abonado Comun
|1000|02-6263717|Registered from 10.50.15.121|Public|BLOQUEO LD
|1000|02-6263779|Registered from 10.50.15.83|Public|BLOQUEO LD
|1000|02-6263782|Registered from 10.50.15.188|Public|BLOQUEO LD
|1000|02-6263840|Registered from 10.50.12.150|Public|BLOQUEO LD
|1000|02-6263848|Registered from 10.50.15.178|Public|BLOQUEO LD
|1000|02-6263871|Registered from 10.50.13.18|Public|Abonado Comun
|1000|02-6263872|Not registered|Public|Abonado Comun
|1000|02-6263924|Registered from 10.50.15.145|Public|BLOQUEO LD
|1000|02-6263988|Registered from 10.50.14.67|Public|Abonado Comun
|1000|02-6263999|Registered from 10.50.14.229|Public|BLOQUEO LD
|1000|02-6264023|Registered from 10.50.11.127|Public|BLOQUEO LD
|1000|02-6264030|Registered from 10.50.14.183|Public|BLOQUEO LD
|1000|02-6264301|Registered from 10.50.13.204|Public|Abonado Comun
|1000|02-6264332|Not registered|Public|Abonado Comun
|1000|02-6264338|Registered from 10.50.15.142|Public|BLOQUEO LD
|1000|02-6264439|Registered from 10.50.11.66|Public|BLOQUEO LD
|1000|02-6264442|Registered from 10.50.13.109|Public|BLOQUEO LD
|1000|02-6266666|Not registered (on 'UC-MAD')|Public|advanced_CLIRO_3
|1000|02-6269990|Not registered (on 'UC-MAD')|Public|advancedSSS
|1000|02-6279243|Registered from 10.50.14.2|Public|Abonado Comun
|1000|02-ABB6231373001|Not registered (on 'UC-MAD')|Public|mduSSS
[End of Document]
